state,identifier
removed,AudioFineSyncMultiAngleAngle
removed,AudioSyncMultiAngleItems
removed,AuditionSelected
removed,AutoReframe
removed,BladeAll
removed,BladeAtPlayhead
removed,BreakApartClipItems
removed,ClipAppearance5050
removed,ClipAppearanceAudioBigger
removed,ClipAppearanceAudioMostly
removed,ClipAppearanceAudioOnly
removed,ClipAppearanceAudioSmaller
removed,ClipAppearanceTitleOnly
removed,ClipAppearanceVideoMostly
removed,ClipAppearanceVideoOnly
removed,CollapseAnimations
removed,CollapseSelectionIntoVariant
removed,CollapseToConnectedStoryline
removed,CollapseToSpine
removed,ColorBoard-NextColorEffect
removed,ColorBoard-NudgePuckDown
removed,ColorBoard-NudgePuckLeft
removed,ColorBoard-NudgePuckRight
removed,ColorBoard-NudgePuckUp
removed,ColorBoard-PreviousColorEffect
removed,ColorBoard-ResetAllPucks
removed,ColorBoard-ResetPucksOnCurrentBoard
removed,ColorBoard-ResetSelectedPuck
removed,ColorBoard-SelectNextPuck
removed,ColorBoard-SelectPreviousPuck
removed,ColorBoard-SwitchToColorTab
removed,ColorBoard-SwitchToExposureTab
removed,ColorBoard-SwitchToNextTab
removed,ColorBoard-SwitchToPreviousTab
removed,ColorBoard-SwitchToSaturationTab
removed,ColorBoard-ToggleAllCorrection
removed,ColorBoard-ToggleInsideColorMask
removed,ColorEffectsLayout
removed,ConnectAdjustmentClip
removed,CopyAttributes
removed,CopyKeyframes
removed,CopyPlayheadTimecode
removed,CopyTimecode
removed,CreateCaptions
removed,CreateCompoundClip
removed,CreateConnectedStoryline
removed,CreateMultiAngleClip
removed,CutKeyframes
removed,CutSwitchAngle01
removed,CutSwitchAngle02
removed,CutSwitchAngle03
removed,CutSwitchAngle04
removed,CutSwitchAngle05
removed,CutSwitchAngle06
removed,CutSwitchAngle07
removed,CutSwitchAngle08
removed,CutSwitchAngle09
removed,CutSwitchAngle10
removed,CutSwitchAngle11
removed,CutSwitchAngle12
removed,CutSwitchAngle13
removed,CutSwitchAngle14
removed,CutSwitchAngle15
removed,CutSwitchAngle16
removed,DefaultLayout
removed,Delete
removed,DeleteKeyframes
removed,DeleteMarker
removed,DeleteMarkersInSelection
removed,DeleteSelectionOnly
removed,DetachAudio
removed,DetectBeats
removed,DualDisplaysLayout
removed,Duplicate
removed,DuplicateFromOriginal
removed,DuplicateProjectAs
removed,EditCaption
removed,EditMarker
removed,EditNamePreset
removed,EditNextMarker
removed,EditPreviousMarker
removed,EditRoles
removed,EditSmartCollection
removed,EnableOrDisableEdit
removed,EnhanceAudio
removed,ExpandCollapseAllSubroles
removed,ExtendEdit
removed,ExtendNextItem
removed,ExtendPreviousItem
removed,ExtractCaptionsFromClip
removed,Favorite
removed,FilterUnusedMedia
removed,FinalizePick
removed,FindAndReplaceTitleText
removed,FreezeFrame
removed,GoToColorBoard
removed,GoToCompareViewer
removed,GoToInspector
removed,GoToProjectTimecodeView
removed,GoToTimecodeView
removed,GoToTimeline
removed,GoToVoiceoverRecordView
removed,HideClip
removed,HideKeywordEditor
removed,Import
removed,ImportCaptions
removed,InsertGap
removed,InsertMedia
removed,InsertMediaAudio
removed,InsertMediaVideo
removed,InsertPlaceholder
removed,JoinSelection
removed,KeyboardCustomization
removed,LibraryProperties
removed,LiftFromSpine
removed,MakeIndependent
removed,MatchAudio
removed,MergeEvents
removed,ModifyContentCreationDate
removed,MultiAngleAddAudioUsingSkimmedObject
removed,MultiAngleEditStyleAudio
removed,MultiAngleEditStyleAudioVideo
removed,MultiAngleEditStyleVideo
removed,MultiAngleVideoSetUsingSkimmedObject
removed,NewEvent
removed,NewFolder
removed,NewKeyword
removed,NewLibrary
removed,NewProject
removed,NewSmartCollection
removed,NewVariantFromCurrentInSelection
removed,NextDecisionCinematicEditor
removed,NextEdit
removed,NextKeyframe
removed,NextMarker
removed,NudgeMarkerLeft
removed,NudgeMarkerRight
removed,OpenInTimeline
removed,OrderFrontKeywordEditor
removed,OrganizeLayout
